PLAYER,PLAYER,2010/11,2010/11(*)
1,Kobe Bryant,24806250,34723970
2,Rashard Lewis,19573711,27399423
3,Kevin Garnett,18800000,26316377
4,Tim Duncan,18700000,26176396
5,Michael Redd,18300000,25616473
6,Andrei Kirilenko,17823000,24948765
6,Pau Gasol,17823000,24948765
8,Gilbert Arenas,17730694,24819555
9,Yao Ming,17686100,24757132
10,Zach Randolph,17666666,24729928
11,Vince Carter,17300000,24216666
12,Dirk Nowitzki,17278618,24186735
13,Carmelo Anthony,17149243,24005635
14,Dwight Howard,16647180,23302844
15,Kenyon Martin,16545454,23160447
16,Amare Stoudemire,16486611,23078078
17,Joe Johnson,16324500,22851154
18,Elton Brand,15959099,22339663
19,Predrag Stojakovic,15532320,21742254
20,Chris Paul,14940153,20913335
21,Deron Williams,14940152,20913333
22,Chris Bosh,14500000,20297205
22,LeBron James,14500000,20297205
24,Jason Richardson,14444444,20219438
25,Carlos Boozer,14400000,20157225
26,Dwyane Wade,14200000,19877263
27,Paul Pierce,13876321,19424175
28,Andrew Bynum,13700000,19177360
29,Rudy Gay,13603750,19042628
30,Brandon Roy,13520500,18926094
31,Tony Parker,13500000,18897398
32,Samuel Dalembert,13428129,18796793
33,Antawn Jamison,13358905,18699892
34,Nick Collison,13250000,18547446
35,Chauncey Billups,13150000,18407466
36,Al Jefferson,13000000,18197495
36,Baron Davis,13000000,18197495
38,Tyson Chandler,12600000,17637572
39,Richard Hamilton,12500000,17497591
40,Andre Iguodala,12345250,17280971
41,Troy Murphy,11968253,16753248
42,Manu Ginobili,11854584,16594133
43,Chris Kaman,11800000,16517726
44,Marcus Camby,11749832,16447500
45,Josh Smith,11600000,16237764
46,Eddy Curry,11530592,16140606
47,Emeka Okafor,11495000,16090785
48,Nene,11360000,15901811
49,Luol Deng,11345000,15880813
50,LaMarcus Aldridge,11244000,15739433
51,Tayshaun Prince,11148760,15606115
52,Kevin Martin,11100005,15537868
53,Andrew Bogut,11000000,15397880
53,Monta Ellis,11000000,15397880
55,Danny Granger,10973202,15360368
56,David Lee,10800000,15117918
56,Ben Gordon,10800000,15117918
56,Jamal Crawford,10800000,15117918
59,Jason Terry,10650000,14907947
60,Mike Dunleavy,10561984,14784742
61,Caron Butler,10561960,14784708
62,Gerald Wallace,10500000,14697976
63,Steve Nash,10310938,14433326
64,Hedo Turkoglu,10215850,14300221
65,Ray Allen,10000000,13998073
66,Mehmet Okur,9945000,13921083
67,Corey Maggette,9600000,13438150
68,Maurice Williams,9300000,13018207
69,Rajon Rondo,9090911,12725523
70,Jose Calderon,9000000,12598265
70,Andris Biedrins,9000000,12598265
70,Boris Diaw,9000000,12598265
70,Kirk Hinrich,9000000,12598265
74,Devin Harris,8981000,12571669
75,Jason Kidd,8610500,12053040
76,Andrea Bargnani,8500000,11898362
76,TJ Ford,8500000,11898362
78,Stephen Jackson,8453250,11832921
79,Richard Jefferson,8400000,11758381
80,David West,8287500,11600903
81,Lamar Odom,8200000,11478419
82,John Salmons,8000000,11198458
83,Jameer Nelson,7800000,10918497
84,Luis Scola,7775378,10884030
85,Marko Jaric,7625000,10673530
86,Paul Millsap,7600000,10638535
87,Raymond Felton,7500000,10498554
88,Joel Przybilla,7405300,10365993
89,Shane Battier,7354500,10294882
90,Shawn Marion,7305500,10226292
91,Anderson Varejao,7281818,10193142
92,Andre Miller,7269264,10175568
93,JJ Redick,7250000,10148602
94,Dan Gadzuric,7248325,10146258
95,James Posey,7148800,10006942
96,Leandro Barbosa,7100000,9938631
97,Charlie Villanueva,7020000,9826647
98,Travis Outlaw,7000000,9798651
99,Brendan Haywood,6900000,9658670
100,Nazr Mohammed,6883800,9635993
100,Jared Jeffries,6883800,9635993
100,Vladimir Radmanovic,6883800,9635993
103,Andres Nocioni,6850000,9588680
104,Greg Oden,6760524,9463430
105,JR Smith,6757851,9459689
106,Marvin Williams,6712500,9396206
107,Morris Peterson,6665000,9329715
108,Jeff Foster,6655000,9315717
109,Jason Kapono,6641440,9296736
110,Tyrus Thomas,6611570,9254924
111,Josh Childress,6500000,9098747
112,Beno Udrih,6478600,9068791
112,DeSagana Diop,6478600,9068791
114,Marcin Gortat,6322320,8850029
114,Trevor Ariza,6322320,8850029
114,Metta World Peace,6322320,8850029
114,Rasheed Wallace,6322320,8850029
118,Kevin Durant,6053663,8473961
119,Andray Blatche,5900000,8258863
120,Wesley Matthews,5765000,8069889
120,Al Harrington,5765000,8069889
120,Jermaine O'Neal,5765000,8069889
123,Drew Gooden,5760000,8062890
124,Kyle Lowry,5750000,8048892
125,Mike Bibby,5564767,7789601
126,Derrick Rose,5546160,7763555
127,Nenad Krstic,5543116,7759294
128,Francisco Garcia,5500000,7698940
128,Jamaal Tinsley,5500000,7698940
130,Sasha Vujacic,5475113,7664103
131,Al Horford,5444857,7621750
132,Blake Griffin,5357280,7499159
133,Mickael Pietrus,5300000,7418978
134,Luke Walton,5260000,7362986
135,Channing Frye,5200000,7278998
136,John Wall,5144280,7201000
137,Reggie Evans,5080000,7111021
138,Amir Johnson,5000000,6999036
138,Louis Williams,5000000,6999036
138,Mike Miller,5000000,6999036
138,Jason Maxiell,5000000,6999036
138,Kyle Korver,5000000,6999036
143,Linas Kleiza,4995000,6992037
144,Michael Beasley,4962240,6946179
145,Mike Conley,4913007,6877263
146,Antonio McDyess,4860000,6803063
147,Marcus Banks,4847586,6785686
148,Darius Songaila,4818000,6744271
149,Martell Webster,4800000,6719075
150,Hasheem Thabeet,4793280,6709668
151,Ronnie Brewer,4790000,6705077
152,Kendrick Perkins,4640208,6495397
153,Evan Turner,4602720,6442921
154,Jarrett Jack,4600000,6439113
155,Chris Andersen,4533300,6345746
156,OJ Mayo,4456200,6237821
157,Jeff Green,4455988,6237524
158,Charlie Bell,4447792,6226051
159,Brad Miller,4400000,6159152
160,Darko Milicic,4325000,6054166
161,James Harden,4304520,6025498
162,Matt Carroll,4300000,6019171
163,Zaza Pachulia,4251250,5950930
164,Hakim Warrick,4250000,5949181
164,Randy Foye,4250000,5949181
166,Nate Robinson,4200000,5879190
167,DeShawn Stevenson,4151786,5811700
168,Derrick Favors,4133280,5785795
169,Yi Jianlian,4050499,5669918
170,Russell Westbrook,4017720,5624033
171,Daniel Gibson,4015334,5620693
172,Brandon Bass,4000000,5599229
172,Ronny Turiaf,4000000,5599229
172,Luke Ridnour,4000000,5599229
172,Nikola Pekovic,4000000,5599229
172,Steve Blake,4000000,5599229
172,Ryan Gomes,4000000,5599229
172,Anthony Morrow,4000000,5599229
179,Willie Green,3976000,5565633
180,Ramon Sessions,3964320,5549284
181,Tyreke Evans,3880920,5432540
182,Jordan Farmar,3750000,5249277
183,Wesley Johnson,3726600,5216521
184,Corey Brewer,3703472,5184147
185,CJ Miles,3700000,5179287
185,Derek Fisher,3700000,5179287
187,Kevin Love,3638280,5092890
188,Timofey Mozgov,3567096,4993247
189,Chris Duhon,3500000,4899325
189,Carlos Delfino,3500000,4899325
189,Udonis Haslem,3500000,4899325
189,Dorell Wright,3500000,4899325
189,Shaun Livingston,3500000,4899325
194,Marc Gasol,3480000,4871329
195,Tiago Splitter,3400000,4759344
196,Brandan Wright,3398072,4756646
197,DeMarcus Cousins,3374640,4723845
198,Grant Hill,3324000,4652959
199,Danilo Gallinari,3304560,4625747
200,Kelenna Azubuike,3300000,4619364
200,Joel Anthony,3300000,4619364
200,Glen Davis,3300000,4619364
203,Thabo Sefolosha,3250000,4549373
203,Will Bynum,3250000,4549373
203,Johan Petro,3250000,4549373
206,Kris Humphries,3200000,4479383
207,Jonny Flynn,3192000,4468184
208,Joakim Noah,3128536,4379347
209,CJ Watson,3100000,4339402
210,Ekpe Udoh,3065040,4290465
211,Eric Gordon,3016680,4222770
212,Josh Howard,3000000,4199421
212,Raja Bell,3000000,4199421
212,Matt Bonner,3000000,4199421
212,Carl Landry,3000000,4199421
212,Tony Allen,3000000,4199421
212,Jamario Moon,3000000,4199421
212,Chris Wilcox,3000000,4199421
212,Eduardo Najera,3000000,4199421
220,Spencer Hawes,2974320,4163474
221,Stephen Curry,2913840,4078814
222,Thaddeus Young,2901241,4061178
223,Julian Wright,2858057,4000729
224,Anthony Parker,2855700,3997429
225,Al Thornton,2814196,3939332
226,Greg Monroe,2798040,3916716
227,Rodney Stuckey,2767126,3873443
228,Sebastian Telfair,2700000,3779479
229,Jordan Hill,2669520,3736813
230,Nick Young,2630503,3682197
231,Al-Farouq Aminu,2563320,3588154
232,DJ Augustin,2540400,3556070
233,Maurice Evans,2500000,3499518
233,David Andersen,2500000,3499518
233,Dahntay Jones,2500000,3499518
236,Marquis Daniels,2470000,3457524
237,DeMar DeRozan,2453880,3434959
238,Brook Lopez,2413320,3378182
239,Rasual Butler,2400000,3359537
240,Marco Belinelli,2380270,3331919
241,Gordon Hayward,2356320,3298393
242,Ryan Hollins,2333333,3266216
243,Brandon Jennings,2331120,3263118
244,Ersan Ilyasova,2320500,3248252
245,Craig Smith,2300000,3219556
246,Jerryd Bayless,2292600,3209198
247,Quentin Richardson,2265000,3170563
248,Paul George,2238360,3133272
249,Louis Amundson,2225000,3114571
250,Terrence Williams,2214480,3099845
251,Anthony Tolliver,2200000,3079576
251,Shannon Brown,2200000,3079576
253,Jason Smith,2187913,3062656
254,Jason Thompson,2178000,3048780
255,Daequan Cook,2169857,3037381
256,Jared Dudley,2151068,3011080
257,Wilson Chandler,2130482,2982264
258,Cole Aldrich,2126520,2976718
259,Gerald Henderson,2103840,2944970
260,Ben Wallace,2080000,2911599
261,Brandon Rush,2069049,2896269
262,Xavier Henry,2020200,2827890
263,Aaron Brooks,2016692,2822980
264,Keyon Dooling,2000000,2799614
265,Tyler Hansbrough,1998600,2797654
266,Chuck Hayes,1972500,2761119
267,Goran Dragic,1972000,2760420
268,Anthony Randolph,1965720,2751629
269,Arron Afflalo,1959577,2743030
270,Ed Davis,1919160,2686454
271,Earl Clark,1898760,2657898
272,Jason Williams,1877145,2627640
273,Robin Lopez,1867320,2613888
274,Patrick Patterson,1823280,2552240
275,JJ Barea,1815000,2540650
276,Austin Daye,1803720,2524860
277,Marreese Speights,1773960,2483202
278,Matt Barnes,1765000,2470659
279,Larry Sanders,1731960,2424410
280,Omer Asik,1721000,2409068
281,James Johnson,1713600,2398709
282,Roy Hibbert,1685280,2359067
283,Renaldo Balkman,1675000,2344677
284,Luke Babbitt,1645440,2303298
285,Jrue Holiday,1627920,2278774
286,JaVale McGee,1601040,2241147
287,Hamed Haddadi,1600000,2239691
287,Keith Bogans,1600000,2239691
289,Kevin Seraphin,1563120,2188066
290,Ty Lawson,1546560,2164885
291,JJ Hickson,1528920,2140193
292,Solomon Jones,1500000,2099710
293,Eric Bledsoe,1485000,2078713
294,Jeff Teague,1476840,2067291
295,Alexis Ajinca,1467840,2054693
296,Avery Bradley,1418160,1985150
297,Eric Maynor,1417800,1984646
298,Ryan Anderson,1409040,1972384
298,Courtney Lee,1409040,1972384
300,Roger Mason,1400000,1959730
301,Ronnie Price,1380000,1931734
302,James Anderson,1361400,1905697
303,Darren Collison,1361040,1905193
304,Kosta Koufos,1352640,1893435
305,Tony Battie,1352181,1892792
305,Anthony Carter,1352181,1892792
305,Earl Boykins,1352181,1892792
305,Eddie House,1352181,1892792
305,Juwan Howard,1352181,1892792
305,Zydrunas Ilgauskas,1352181,1892792
305,Joe Smith,1352181,1892792
305,Theo Ratliff,1352181,1892792
305,Tracy McGrady,1352181,1892792
305,Brian Cardinal,1352181,1892792
305,Kurt Thomas,1352181,1892792
305,Shaquille O'Neal,1352181,1892792
305,Jason Collins,1352181,1892792
318,Craig Brackins,1306920,1829436
319,Sean Marks,1264687,1770318
320,Elliot Williams,1254720,1756366
321,Omri Casspi,1254480,1756030
322,Rudy Fernandez,1246680,1745111
323,Earl Watson,1229255,1720720
323,Malik Allen,1229255,1720720
323,Jamaal Magloire,1229255,1720720
323,Brian Scalabrine,1229255,1720720
323,Kwame Brown,1229255,1720720
328,Carlos Arroyo,1223166,1712196
328,Melvin Ely,1223166,1712196
328,Etan Thomas,1223166,1712196
331,Trevor Booker,1204560,1686151
332,BJ Mullens,1204200,1685647
332,Serge Ibaka,1204200,1685647
334,Royal Ivey,1200000,1679768
335,Nicolas Batum,1196760,1675233
336,George Hill,1157160,1619801
337,Damion James,1156320,1618625
338,Rodrigue Beaubois,1156080,1618289
339,Francisco Elson,1146337,1604650
339,Brian Cook,1146337,1604650
339,Quinton Ross,1146337,1604650
342,Erick Dampier,1129469,1581038
343,Darrell Arthur,1123680,1572935
344,Taj Gibson,1117680,1564536
345,Donte Greene,1116840,1563360
346,Dominique Jones,1110120,1553954
347,DJ White,1108680,1551938
348,Kyrylo Fesenko,1087500,1522290
349,DeMarre Carroll,1085400,1519350
350,Wayne Ellington,1078800,1510112
351,Quincy Pondexter,1073280,1502385
352,Toney Douglas,1071000,1499193
353,Josh Powell,1069609,1497246
354,Didier Ilunga-Mbenga,1069509,1497106
354,James Jones,1069509,1497106
354,Delonte West,1069509,1497106
357,Jordan Crawford,1042320,1459047
358,Greivis Vasquez,1035960,1450144
359,Aaron Gray,1028840,1440177
360,Daniel Orton,1028400,1439561
361,Lazar Hayward,1020960,1429147
361,Christian Eyenga,1020960,1429147
363,Jon Brockman,1000000,1399807
364,Antoine Wright,992680,1389560
364,Luther Head,992680,1389560
364,Fabricio Oberto,992680,1389560
364,Joey Graham,992680,1389560
364,Stephen Graham,992680,1389560
364,Hilton Armstrong,992680,1389560
370,Patrick Mills,937195,1311892
371,DeJuan Blair,918000,1285023
372,Shelden Williams,915852,1282016
372,Leon Powe,915852,1282016
372,Von Wafer,915852,1282016
375,Sam Young,886000,1240229
376,Shawne Williams,885210,1239123
377,Josh McRoberts,885120,1238997
378,Dominic McGuire,884120,1237597
379,Chris Quinn,861978,1206603
380,Acie Law,859087,1202555
381,Cartier Martin,854389,1195979
381,Joey Dorsey,854389,1195979
381,Sonny Weems,854389,1195979
381,Darnell Jackson,854389,1195979
381,Henry Walker,854389,1195979
381,Chris Douglas-Roberts,854389,1195979
381,Luc Mbah a Moute,854389,1195979
381,Mario Chalmers,854389,1195979
381,DeAndre Jordan,854389,1195979
390,Jermaine Taylor,780871,1093068
390,Chase Budinger,780871,1093068
392,Solomon Alabi,770000,1077851
393,Ian Mahinmi,762196,1066927
394,Marcus Thornton,762195,1066926
394,Jodie Meeks,762195,1066926
394,AJ Price,762195,1066926
394,Reggie Williams,762195,1066926
394,Jonas Jerebko,762195,1066926
394,DaJuan Summers,762195,1066926
394,Derrick Brown,762195,1066926
394,Dante Cunningham,762195,1066926
402,Lance Stephenson,750000,1049855
403,Damien Wilkins,748656,1047974
404,Steve Novak,734945,1028781
405,Hassan Whiteside,730437,1022471
406,Alonzo Gee,681492,953956
407,Rodney Carney,651872,912494
408,Jarron Collins,643551,900847
409,Ike Diogu,608772,852163
410,Andy Rautins,600000,839884
411,Gary Neal,525000,734898
412,Willie Warren,500000,699903
412,Samardo Samuels,500000,699903
414,Garret Siler,473640,663004
414,Gani Lawal,473640,663004
416,Hamady N'Diaye,473604,662954
416,Jeremy Evans,473604,662954
416,Pooh Jeter,473604,662954
416,Armon Johnson,473604,662954
416,Landry Fields,473604,662954
416,Da'Sean Butler,473604,662954
416,Dexter Pittman,473604,662954
416,Patrick Beverley,473604,662954
416,Ishmael Smith,473604,662954
416,Derrick Caracter,473604,662954
416,Devin Ebanks,473604,662954
416,Jeremy Lin,473604,662954
416,Terrico White,473604,662954
416,Gary Forbes,473604,662954
416,Manny Harris,473604,662954
416,Luke Harangody,473604,662954
416,Semih Erden,473604,662954
416,Sherron Collins,473604,662954
416,Ben Uzoh,473604,662954
416,Pape Sy,473604,662954
436,Pops Mensah-Bonsu,364461,510175
437,Jeff Adrien,342666,479666
438,Sundiata Gaines,327296,458150
439,Jawad Williams,321652,450250
440,Brian Skinner,270436,378558
441,Ime Udoka,264232,369873
442,Zabian Dowdell,242374,339276
443,Jerry Stackhouse,222712,311753
444,John Lucas,208264,291529
445,Aleksandar Pavlovic,202295,283173
446,Lester Hudson,192791,269870
447,Earl Barron,188558,263944
448,Garrett Temple,170373,238488
449,Chris Johnson,164368,230083
450,Darington Hobson,103078,144289
451,Danny Green,94154,131797
452,Joe Alexander,90465,126633
453,Mustafa Shakur,89670,125520
453,Trey Johnson,89670,125520
455,Maurice Ager,83305,116610
456,Bobby Simmons,71951,100717
457,Matt Janning,58504,81894
458,Ronald Dupree,58393,81738
459,Larry Owens,55718,77994